Begriff;Entsorgungsart
Puddingbecher ;gelbe Tonne
Quarkbecher ;gelbe Tonne
Quetschbeutelverpackung ;gelbe Tonne
Raffaello Verpackung ;gelbe Tonne
Rasierschaumdosen ;gelbe Tonne
Raumspraydosen (leer) ;gelbe Tonne
Raviolidosen ;gelbe Tonne
Reinigungsmittelflasche ;gelbe Tonne
Reisewaschmitteltube ;gelbe Tonne
Rittersportverpackung ;gelbe Tonne
Saftflaschen (Plasik) ;gelbe Tonne
Saftkarton ;gelbe Tonne
Safttüten ;gelbe Tonne
Sahnebecher ;gelbe Tonne
Salat Fix Tüten ;gelbe Tonne
Salatkräuterverpackung (Tüte) ;gelbe Tonne
Salatsoßenverpackung (Plastik) ;gelbe Tonne
Salatverpackung (Plastik) ;gelbe Tonne
Salzverpackung (Folie) ;gelbe Tonne
Sandwichtoastverpackung ;gelbe Tonne
Saugvlies (Frischfleisch, Geflügel) ;gelbe Tonne
Schafskäseverpackung (Dose) ;gelbe Tonne
Schafskäseverpackung (Folie) ;gelbe Tonne
Schaumkussverpackung ;gelbe Tonne
Schaumstoffverpackung ;gelbe Tonne
Schinkennetz ;gelbe Tonne
Schlemmerfiletverpackung (Aluschale) ;gelbe Tonne
Schlemmerfiletverpackung (Folie) ;gelbe Tonne
Schokoladenalufolie ;gelbe Tonne
Schokolenenriegelverpackung (Folie) ;gelbe Tonne
Schraubdeckel ;gelbe Tonne
Schraubdeckeldosen (Seifenblasen) ;gelbe Tonne
Schraubverschlüsse ;gelbe Tonne
Schutzkappe (Verschluss) ;gelbe Tonne
Seifenspender (Einweg) ;gelbe Tonne
Sektflaschenverschluss ;gelbe Tonne
Sektkorken (Kork) ;gelbe Tonne
Sektkorken (Plastik) ;gelbe Tonne
Sekundenklebertube ;gelbe Tonne
Senfflasche (Plastik) ;gelbe Tonne
Senftube ;gelbe Tonne
Shampoflasche ;gelbe Tonne
Sicherungskappe ;gelbe Tonne
Silberpapier ;gelbe Tonne
Silikonkartusche (leer) ;gelbe Tonne
Sixpack Verpackung (Folie) ;gelbe Tonne
Smoothieflasche (Plastik) ;gelbe Tonne
Softdrinkverpackung ;gelbe Tonne
Sonneencremetube ;gelbe Tonne
Sonnencremeflasche ;gelbe Tonne
Sortierbox (Bohrer, Schrauben) ;gelbe Tonne
Soßenpulvververpackung (Plastik) ;gelbe Tonne
Spankorb (Obst, Gemüse) ;gelbe Tonne
Speiseeisverpackung ;gelbe Tonne
Speiseölflasche (Plastik) ;gelbe Tonne
Speiseölflaschen ;gelbe Tonne
Sprühsahnedose ;gelbe Tonne
Spülmittelflaschen ;gelbe Tonne
Stanzrahmen (Sim Karte) ;gelbe Tonne
Steakverpackung (Folie) ;gelbe Tonne
Steingutflaschen ;gelbe Tonne
Styropor (von Verpackungen) ;gelbe Tonne
Styroporbox (Lieferservice) ;gelbe Tonne
Styroporchips ;gelbe Tonne
Styroporformatteile ;gelbe Tonne
Suppendosen ;gelbe Tonne
Suppentüten ;gelbe Tonne
Suppenwürfelfolie ;gelbe Tonne
Sushi Verpackung ;gelbe Tonne
Süßigkeitenverpackung (Folie) ;gelbe Tonne
Süssstoffflasche (Plastik) ;gelbe Tonne
Süsstoffspender ;gelbe Tonne
Tabakdosen (Verkaufsverpackung) ;gelbe Tonne
Tablettenverpackung (Plastik) ;gelbe Tonne
Taschentücherverpackung ;gelbe Tonne
Tetrapack ;gelbe Tonne
Thekenschalen ;gelbe Tonne
Thunfischdose ;gelbe Tonne
Tiefkühlkostbeute ;gelbe Tonne
Tiefkühlkostschachteln (beschichtet) ;gelbe Tonne
Tierfutterverpackung ;gelbe Tonne
To Go Becher ;gelbe Tonne
Toastbrotverpackung ;gelbe Tonne
Toastverpackung ;gelbe Tonne
Toilettenpapierverpackung ;gelbe Tonne
Tomatenmarktuben ;gelbe Tonne
Tomatenverpackung (Plastik) ;gelbe Tonne
Tortenbodenverpackung ;gelbe Tonne
Tortengussverpackung (Folie) ;gelbe Tonne
Tortengussverpackung (Plastik) ;gelbe Tonne
Tragetaschen (Kunststoff) ;gelbe Tonne
Transportverpackungen ;gelbe Tonne
Trockenhefeverpackung (Folie) ;gelbe Tonne
Trockenobsttüten ;gelbe Tonne
Trockenshampoo (Dose) ;gelbe Tonne
Tütensuppenverpackung ;gelbe Tonne
Ueberraschungsei ;gelbe Tonne
Umreifungsbänder ;gelbe Tonne
Umverpackungen ;gelbe Tonne
Vakkuumverpackung ;gelbe Tonne
Verbundsverpackungen ;gelbe Tonne
verkauft werden ;gelbe Tonne
Verpackungen von Fertiggerichten ;gelbe Tonne
Verpackungschips ;gelbe Tonne
Vitamintabkettenröhrchen ;gelbe Tonne
Vogelfutternetz ;gelbe Tonne
Warmhaltebeutel (Hähnchen) ;gelbe Tonne
Wattepadverpackung ;gelbe Tonne
Wattestäbchenverpackung ;gelbe Tonne
WC-Reinigerflasche ;gelbe Tonne
WC-Steinhalter ;gelbe Tonne
Weichkäseverpackung (Folie) ;gelbe Tonne
Weichspülerflasche ;gelbe Tonne
Weinkorken ;gelbe Tonne
Weißblechdosen ;gelbe Tonne
Windelverpackung (Plastik) ;gelbe Tonne
Würstchenverpackung (Dose) ;gelbe Tonne
Würstchenverpackung (Plastik) ;gelbe Tonne
Wurstdosen ;gelbe Tonne
Wursteinwickelfolie ;gelbe Tonne
Wurstkonserven ;gelbe Tonne
Wurstverpackung ;gelbe Tonne
Würzsoßenverpackung (Plastik) ;gelbe Tonne
Zahnpastatuben ;gelbe Tonne
Zahnpastatubenverpackung (Plastik) ;gelbe Tonne
Zahnseideverpackung ;gelbe Tonne
Zementsäcke (leer) ;gelbe Tonne
Zigarettenschachtel (Folie, Silberpapier) ;gelbe Tonne
Zuckertüte (Folie) ;gelbe Tonne
Zwiebelnetz ;gelbe Tonne
After Shave (Glasflasche) ;Glascontainer
Apfelmus Verpackung (Glas) ;Glascontainer
Babynahrungsgläser ;Glascontainer
Brotaufstrichglas ;Glascontainer
Eierlikörflasche ;Glascontainer
Einwegflaschen ;Glascontainer
Gewürzglas ;Glascontainer
Gewürzstreuer ;Glascontainer
Gurkenglas ;Glascontainer
Honigglas ;Glascontainer
Instandkaffeglas ;Glascontainer
Majonaiseglas ;Glascontainer
Make-Up Glasflasche ;Glascontainer
Malzfbierflasche (Einweg-Glas) ;Glascontainer
Marmeladengläser ;Glascontainer
Meerrettichglas ;Glascontainer
Nagellackflasche ;Glascontainer
Nudelsoßengläser ;Glascontainer
Nutellaglas ;Glascontainer
Obstgläser ;Glascontainer
Olivenglas ;Glascontainer
Parfumflakon ;Glascontainer
Parfumflasche ;Glascontainer
Sektflasche ;Glascontainer
Senfglas ;Glascontainer
Sojasoßenflasche ;Glascontainer
Soßengläser ;Glascontainer
Verbundglas ;Glascontainer
Weckgläser ;Glascontainer
Weinflaschen ;Glascontainer
Weisweinflasche ;Glascontainer
Whiskeyflasche ;Glascontainer
Altpapier ;Papiertonne
Bäckertüte ;Papiertonne
Bananenkiste ;Papiertonne
Bedienungsanleitung ;Papiertonne
Beipackzettel ;Papiertonne
Blumenkrepp ;Papiertonne
Briefumschläge ;Papiertonne
Broschüren ;Papiertonne
Computerpapier ;Papiertonne
Currywurstschale (Pappe, Sauber) ;Papiertonne
Faltschachteln ;Papiertonne
Fliesenklebersack ;Papiertonne
Geschenkpapier ;Papiertonne
Grillkohlesack ;Papiertonne
Haferflockenverpackung ;Papiertonne
Handzettel ;Papiertonne
Hefte ;Papiertonne
Illustrierte ;Papiertonne
Kartonagen ;Papiertonne
Kataloge ;Papiertonne
Kontoauszüge ;Papiertonne
Lasgneplattenverpackung ;Papiertonne
Magazine ;Papiertonne
Mehlpackung ;Papiertonne
Müslischachtel ;Papiertonne
Packpapier ;Papiertonne
Papier ;Papiertonne
Papiertischdecken (unverschmutz) ;Papiertonne
Papprolle ;Papiertonne
Pappschachtel ;Papiertonne
Pizzaschachtel (leer) ;Papiertonne
Poster ;Papiertonne
Postkarten ;Papiertonne
Postpaket ;Papiertonne
Puddingpulvertüte ;Papiertonne
Schreibpapier ;Papiertonne
Schuhkarton ;Papiertonne
Schulhefte ;Papiertonne
Sixpack Verpackung (Pappe) ;Papiertonne
Taschenbücher ;Papiertonne
Telefaxpapier (unbeschichtet) ;Papiertonne
Toilettenpapierrollen ;Papiertonne
Tortenunterlage ;Papiertonne
Umzugskartons ;Papiertonne
Versandumschlag ;Papiertonne
Vogelfutterschachtel ;Papiertonne
Vordrucke ;Papiertonne
Waschmittelkarton ;Papiertonne
Werbeschriften ;Papiertonne
Zeitschriften ;Papiertonne
Zeitungen ;Papiertonne
Aqua;Restmülltonne
Bit;Restmülltonne
Eiskugelfo;Restmülltonne
Klebest;Restmülltonne
Sofaki;Restmülltonne
Abdeckplanen ;Restmülltonne
Ablagekörbe ;Restmülltonne
Abschminktücher ;Restmülltonne
Adventskalender ;Restmülltonne
After Shave (Porzelanflasche) ;Restmülltonne
Agrarfolien ;Restmülltonne
Aktenkoffer ;Restmülltonne
Aktenordner ;Restmülltonne
Alleskleber (ausgehärtet) ;Restmülltonne
Alu-Brennschale - Kerze ;Restmülltonne
Alufolien ;Restmülltonne
Arzneimittel ;Restmülltonne
Asche (kalt!!) ;Restmülltonne
Aschenbecher ;Restmülltonne
Auflaufform ;Restmülltonne
Aufsteckzahnbürste ;Restmülltonne
Autofell ;Restmülltonne
Babyflaschen ;Restmülltonne
Babywindeln ;Restmülltonne
Backblech ;Restmülltonne
Backform ;Restmülltonne
Backförmchen ;Restmülltonne
Backpapier ;Restmülltonne
Backsteine Bauschutt, Kleinmenge ;Restmülltonne
Badematte ;Restmülltonne
Bandage ;Restmülltonne
Bandschleifpapier ;Restmülltonne
Barbiepuppen ;Restmülltonne
Bastelreste ;Restmülltonne
Bauholz Bauschutt, Kleinmenge ;Restmülltonne
Benzinkanister (leer) ;Restmülltonne
Besen ;Restmülltonne
Besenstiel ;Restmülltonne
Besteckkasten ;Restmülltonne
Bierglas ;Restmülltonne
Bilder ;Restmülltonne
Bilderrahmen (klein) ;Restmülltonne
Binden ;Restmülltonne
Blaupapier ;Restmülltonne
Blechspielzeug ;Restmülltonne
Bleiglas ;Restmülltonne
Bleikristall ;Restmülltonne
Blumenkasten ;Restmülltonne
Blumenvase ;Restmülltonne
Blutdruckmessgerät (mechanisch) ;Restmülltonne
Brillen ;Restmülltonne
Brillenetui ;Restmülltonne
Brillengläser ;Restmülltonne
Brotdose ;Restmülltonne
Brotkasten ;Restmülltonne
Brotkorb ;Restmülltonne
Bügelbrettbezug ;Restmülltonne
Buntstifte ;Restmülltonne
Büroablage ;Restmülltonne
Büroklammer ;Restmülltonne
Bürsten ;Restmülltonne
Butterbrotbox ;Restmülltonne
Butterbrotpapier ;Restmülltonne
Campinggeschirr ;Restmülltonne
Carbonbänder ;Restmülltonne
Cassetten ;Restmülltonne
CD's ;Restmülltonne
Dachziegel Bauschutt, Kleinmenge ;Restmülltonne
Damenbinden ;Restmülltonne
Damenhygieneartikel ;Restmülltonne
Damenstrumpfhose ;Restmülltonne
Decken (zerrissen) ;Restmülltonne
Dekoration ;Restmülltonne
Dias ;Restmülltonne
Disketten ;Restmülltonne
Dispersionsfarbe (trocken) ;Restmülltonne
Dosenöffner ;Restmülltonne
Drahtglas Bauschutt, Kleinmenge ;Restmülltonne
Druckerpatronen ;Restmülltonne
Dübel ;Restmülltonne
Duschkopf ;Restmülltonne
Duschvorhang ;Restmülltonne
DVD´s ;Restmülltonne
Eierschneider ;Restmülltonne
Eimer ;Restmülltonne
Einmachglas ;Restmülltonne
Einmalhandschuhe ;Restmülltonne
Einmalrasierer ;Restmülltonne
Einwegbesteck ;Restmülltonne
Einwegfeuerzeug ;Restmülltonne
Einweggeschirr ;Restmülltonne
Einwegrasierer ;Restmülltonne
Einwegteller ;Restmülltonne
Eisstiel ;Restmülltonne
Essstäbchen ;Restmülltonne
Fahrradhelm ;Restmülltonne
Fahrradmantel ;Restmülltonne
Fahrradschloss ;Restmülltonne
Farbbänder ;Restmülltonne
Farbroller ;Restmülltonne
Federball ;Restmülltonne
Federballschläger ;Restmülltonne
Felle ;Restmülltonne
Fensterglas ;Restmülltonne
Feuerzeuge ;Restmülltonne
Filme ;Restmülltonne
Filzbelag ;Restmülltonne
Filzstifte ;Restmülltonne
Fliegenklatsche ;Restmülltonne
Fotoabzüge ;Restmülltonne
Frisbee ;Restmülltonne
Frischhaltedose ;Restmülltonne
Frischhaltedosen ;Restmülltonne
Fritierfett (ausgehärtet) ;Restmülltonne
Fusselrolle ;Restmülltonne
Fußball ;Restmülltonne
Fußmatten ;Restmülltonne
Gartengeräte (nicht elektrisch) ;Restmülltonne
Gartenschlauch ;Restmülltonne
Gartenspritze ;Restmülltonne
Gefrierdose ;Restmülltonne
Geschenkband ;Restmülltonne
Geschenkkordel ;Restmülltonne
Getränkeglas ;Restmülltonne
Gießkanne ;Restmülltonne
Gitarre ;Restmülltonne
Grablicht ;Restmülltonne
Grillasche ;Restmülltonne
Grillkohle ;Restmülltonne
Grillrost ;Restmülltonne
Grillschalen ;Restmülltonne
Grillzange ;Restmülltonne
Gummiente ;Restmülltonne
Gummihandschuhe ;Restmülltonne
Gummistiefel ;Restmülltonne
Gürtel ;Restmülltonne
Haarbürste ;Restmülltonne
Haargummi ;Restmülltonne
Haarklammer ;Restmülltonne
Haarspange ;Restmülltonne
Halogenlampen ;Restmülltonne
Handschuhe ;Restmülltonne
Handtücher ;Restmülltonne
Haushaltstuch ;Restmülltonne
Hausmüll ;Restmülltonne
Heckenschere (mechanisch) ;Restmülltonne
Helm ;Restmülltonne
Heraklitplatten ;Restmülltonne
Herdabdeckplatten ;Restmülltonne
Holzspielzeug (klein) ;Restmülltonne
Hundedecke ;Restmülltonne
Hundekot ;Restmülltonne
Hundeleine ;Restmülltonne
Hundespielzeug ;Restmülltonne
Hut ;Restmülltonne
Hydrokultur ;Restmülltonne
Hygieneartikel ;Restmülltonne
Infussionsbeutel (voll) ;Restmülltonne
Inkontinenzwindeln ;Restmülltonne
Inliner ;Restmülltonne
Isolierkanne ;Restmülltonne
Isolierschaum (ausgehärtet) ;Restmülltonne
Isomatte ;Restmülltonne
Kabelschacht ;Restmülltonne
Kaffedose ;Restmülltonne
Kaffeekanne ;Restmülltonne
Kaffeekapseln (befüllt) ;Restmülltonne
Kaffeetasse ;Restmülltonne
Kamm ;Restmülltonne
Kaninchenstreu ;Restmülltonne
Kassenzettel (Thermo- Papier) ;Restmülltonne
Kassetten ;Restmülltonne
Katzenstreu ;Restmülltonne
Kaugummi ;Restmülltonne
Kehricht ;Restmülltonne
Keramik ;Restmülltonne
keramikpfanne ;Restmülltonne
Kerzen ;Restmülltonne
Kerzenglas ;Restmülltonne
Kindersitzerhöhung ;Restmülltonne
Kinderspielzeug ;Restmülltonne
